"species","lon","lat"
"Crax_fasciolata",-57.132168,-19.557458
"Crax_fasciolata",-57.2343,-19.5472
"Crax_fasciolata",-57.061,-19.2288
"Crax_fasciolata",-56.9037,-19.8132
"Crax_fasciolata",-56.769104,-19.474361
"Crax_fasciolata",-54.7514,-17.5907
"Crax_fasciolata",-53.1175,-18.4283
"Crax_fasciolata",-56.137936,-19.466548
"Crax_fasciolata",-60.326502,-14.047906
"Crax_fasciolata",-52.9982,-17.9021
"Crax_fasciolata",-52.9235,-18.1308
"Crax_fasciolata",-55.6458,-19.4148
"Crax_fasciolata",-61,-13.55
"Crax_fasciolata",-52.0479,-18.4353
"Crax_fasciolata",-54.0164,-17.3046
"Crax_fasciolata",-64.9461,-14.7246
"Crax_fasciolata",-56.094089,-15.581191
"Crax_fasciolata",-47.6342,-21.9382
"Crax_fasciolata",-51.7125,-18.9339
"Crax_fasciolata",-47.398007,-20.566878
"Crax_fasciolata",-61.8648,-17.0272
"Crax_fasciolata",-58.6854,-25.3307
"Crax_fasciolata",-62.8051,-15.7549
"Crax_fasciolata",-57.7969,-22.1478
"Crax_fasciolata",-57.6773,-21.7138
"Crax_fasciolata",-57.6092,-19.205
"Crax_fasciolata",-51.9051,-21.2836
"Crax_fasciolata",-57.12134,-19.412428
"Crax_fasciolata",-64.5088,-13.8054
"Crax_fasciolata",-57.0081,-19.1834
"Crax_fasciolata",-56.7191,-20.6374
"Crax_fasciolata",-51.7647,-20.8111
"Crax_fasciolata",-56.57541,-20.224562
"Crax_fasciolata",-52.9847,-18.7862
"Crax_fasciolata",-53.179,-18.4205
"Crax_fasciolata",-56.3043,-19.9543
"Crax_fasciolata",-56.3906,-20.2214
"Crax_fasciolata",-56.2591,-19.8815
"Crax_fasciolata",-56.044717,-20.336424
"Crax_fasciolata",-55.956851,-20.189658
"Crax_fasciolata",-58.5161,-25.9113
"Crax_fasciolata",-65.847,-13.0279
"Crax_fasciolata",-59.4673,-18.2146
"Crax_fasciolata",-58.4573,-25.9696
"Crax_fasciolata",-62.9112,-16.3735
"Crax_fasciolata",-57.55,-22.7333
"Crax_fasciolata",-57.66,-24.66
"Crax_fasciolata",-57.43,-22.6
"Crax_fasciolata",-57.376,-22.7125
"Crax_fasciolata",-57.3688,-23.6683
"Crax_fasciolata",-51.9126,-21.3393
"Crax_fasciolata",-59.1998,-16.4045
"Crax_fasciolata",-56.516279,-20.982157
"Crax_fasciolata",-56.53333333,-21.25
"Crax_fasciolata",-56.561611,-21.101063
"Crax_fasciolata",-56.4585,-21.204
"Crax_fasciolata",-56.457005,-21.03591
"Crax_fasciolata",-64.9295,-14.1133
"Crax_fasciolata",-64.9098,-14.2035
"Crax_fasciolata",-56.0944,-20.765
"Crax_fasciolata",-53.1768,-20.2064
"Crax_fasciolata",-58.1177,-25.7378
"Crax_fasciolata",-58.2185,-25.932
"Crax_fasciolata",-58.1617,-25.982
"Crax_fasciolata",-57.1667,-22.4167
"Crax_fasciolata",-58.1972,-26.59
"Crax_fasciolata",-57.25,-22.3
"Crax_fasciolata",-57.05,-23.61
"Crax_fasciolata",-58.5872,-26.9745
"Crax_fasciolata",-56.0315,-21.7793
"Crax_fasciolata",-56.290362,-21.562183
"Crax_fasciolata",-56.000861,-21.488477
"Crax_fasciolata",-56.4397,-21.4613
"Crax_fasciolata",-56.952725,-19.991301
"Crax_fasciolata",-66.5006,-13.4443
"Crax_fasciolata",-56.75679553,-20.07150281
"Crax_fasciolata",-55.677195,-19.776779
"Crax_fasciolata",-55.766602,-19.828725
"Crax_fasciolata",-55.5618,-19.5452
"Crax_fasciolata",-55.047,-19.338
"Crax_fasciolata",-55.2745,-19.2441
"Crax_fasciolata",-53.7593,-20.445
"Crax_fasciolata",-57.902405,-25.912201
"Crax_fasciolata",-59.9024,-17.9463
"Crax_fasciolata",-55.1312,-22.2526
"Crax_fasciolata",-57.9172,-25.8521
"Crax_fasciolata",-56.499,-22.159
"Crax_fasciolata",-56.1333,-22.4833
"Crax_fasciolata",-57.3693,-24.9615
"Crax_fasciolata",-56.873119,-20.737038
"Crax_fasciolata",-57.0084,-24.2828
"Crax_fasciolata",-57.0921,-25.2962
"Crax_fasciolata",-53.6749,-21.5596
"Crax_fasciolata",-53.9865,-21.7977
"Crax_fasciolata",-54.926043,-20.227099
"Crax_fasciolata",-56.28872971,-20.30293143
"Crax_fasciolata",-55.0766,-19.9325
"Crax_fasciolata",-56.220474,-20.291825
