;species;subsp;lat;lon;collectionCode;year;basis
81;Crax fasciolata;NA;-16.523598;-56.745529;Observations;2019;GBIF
82;Crax fasciolata;NA;-16.3935;-56.6225;Observations;2016;GBIF
83;Crax fasciolata;NA;-18.264057;-52.892074;Observations;2015;GBIF
84;Crax fasciolata;NA;-16.4022;-56.6676;Observations;2016;GBIF
85;Crax fasciolata;NA;-16.504515;-56.675472;Observations;2010;GBIF
86;Crax fasciolata;NA;-16.7501;-56.866899;Observations;2011;GBIF
87;Crax fasciolata;NA;-17.340152;-56.733398;Observations;2000;GBIF
88;Crax fasciolata;NA;-16.378611;-56.620833;Observations;2019;GBIF
89;Crax fasciolata;NA;-16.749632;-56.863201;Observations;2019;GBIF
90;Crax fasciolata;NA;-16.405871;-56.604907;Observations;2019;GBIF
91;Crax fasciolata;NA;-16.754665;-56.875275;Observations;2019;GBIF
92;Crax fasciolata;NA;-16.748054;-56.856909;Observations;2018;GBIF
93;Crax fasciolata;NA;-16.750984;-56.861572;Observations;2018;GBIF
94;Crax fasciolata;NA;-16.380964;-56.628219;Observations;2018;GBIF
95;Crax fasciolata;NA;-16.504488;-56.745708;Observations;2018;GBIF
96;Crax fasciolata;NA;-16.41086;-56.611547;Observations;2018;GBIF
97;Crax fasciolata;NA;-16.74811;-56.857189;Observations;2018;GBIF
98;Crax fasciolata;NA;-16.503033;-56.745572;Observations;2017;GBIF
99;Crax fasciolata;NA;-16.5123;-56.7115;Observations;2017;GBIF
100;Crax fasciolata;NA;-16.511322;-56.709191;Observations;2017;GBIF
101;Crax fasciolata;NA;-16.3998;-56.6244;Observations;2016;GBIF
102;Crax fasciolata;NA;-19.474361;-56.769104;Observations;2013;GBIF
103;Crax fasciolata;NA;-16.420608;-56.692543;Observations;2012;GBIF
104;Crax fasciolata;NA;-16.789627;-56.849227;Observations;2011;GBIF
105;Crax fasciolata;NA;-19.585449;-56.147816;Observations;2010;GBIF
106;Crax fasciolata;NA;-20.189658;-55.956851;Observations;2018;GBIF
107;Crax fasciolata;NA;-20.029404;-55.917977;Observations;2018;GBIF
108;Crax fasciolata;NA;-19.473252;-56.118352;Observations;2010;GBIF
109;Crax fasciolata;NA;-15.664801;-47.872509;Observations;2017;GBIF
110;Crax fasciolata;NA;-16.7882;-56.8494;EBIRD;2013;GBIF
111;Crax fasciolata;NA;-16.7842;-56.844;EBIRD;2018;GBIF
